sequencial;latitude;longitude;uf;cnl;facilidade;id_facilidade;provedor;id_provedor;entrega;abordado;custo_de_acesso_proprio;instalacao_terceiros;mensalidade_terceiros;tipo_terceiros;id_da_sev;prazo;bb_ip;hp_bsod;codigo_spe;sinalizacao_sip;protocolo_gaia;obs;justificativa;ID Justificativa;status
7814190;-11,7099184;-47,7287983;TO;NDD;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;424,5468808;3;962078;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814193;-12,9322713;-46,9443976;TO;AAX;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;424,5468808;3;962079;;;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814223;-9,56054919;-48,3901613;TO;MNE;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;927,9062956;3;962092;;78520;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814231;-7,33845856;-47,495812;TO;FLF;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1721,242625;3;962100;;78521;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814233;-6,32759737;-47,4276042;TO;TNS;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1721,242625;3;962102;;78522;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814236;-12,0343771;-48,5401762;TO;PXE;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962105;;78523;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814237;-11,7099184;-47,7287983;TO;NDD;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962106;;78524;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814240;-5,64754594;-48,1204233;TO;AGN;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;927,9062956;3;962109;;78525;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814244;-5,46839629;-47,8833686;TO;AIO;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1721,242625;3;962113;;78526;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814246;-12,9322713;-46,9443976;TO;AAX;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962115;;78527;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814247;-10,710556;-48,41025;TO;PXC;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1305,384767;3;962116;;78528;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814251;-12,4805638;-49,1248741;TO;AVO;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;1180,106692;3;962120;;78529;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
7814254;-8,81991211;-49,5603253;TO;AGC;FO EDD DIRETO CLARO;6;EMBRATEL;8;PMJ SO;NAO;9797;;;;962123;;78530;;;;0;ESTACAO TOAGC03;;;1
7814256;-11,8014452;-49,5284981;TO;FOR;TERCEIROS ETH;26;VTAL - TO;468;PMJ SO;NAO;;9913,716982;927,9062956;3;962125;;78531;;;;0;FECHAMENTO LPU VTAL;FORA DE REDE;1;1
